f,Z_corr,phase_corr
10000.0,1.4067057261559717,-113.503437766035
7140.0,1.1894956914591999,-82.75549314755881
5560.0,1.1057956411561767,-64.732689499661
4550.0,1.069001870905753,-53.02290738191552
3570.0,1.0426360822453824,-41.65635724835197
2780.0,1.0267370646859886,-32.38987316932866
2080.0,1.016384277721768,-24.345981472293122
1670.0,1.0111641805364744,-19.528041880932044
1280.0,1.0066916111699749,-15.08539829831003
1000.0,1.0041483954077703,-11.77992637336711
769.0,1.0025288025787589,-9.06770353159035
595.0,1.0027262836886246,-7.564436027505658
463.0,1.0013116398005169,-5.904178459041946
355.0,1.0015158510977247,-5.443044000498112
278.0,1.0011139845192454,-4.520294481553852
213.0,1.0045783394041503,-5.4722357158796875
167.0,1.0035553597086708,-4.8243303226397085
128.0,1.003060760871444,-4.477124860043988
100.0,1.003234892734498,-4.602385835434099
76.9,1.0028687052650511,-4.334730834640652
60.0,1.0026319165077482,-4.152388404168549
46.4,1.002350218237119,-3.9243422482828736
35.7,1.0020267910590015,-3.6448166326835163
27.8,1.0018344973098101,-3.46788328244581
21.3,1.0016345840674632,-3.2737513011396815
16.7,1.0005683384956772,-3.208417655778791
12.7,1.0003733103197026,-3.0025525672686317
10.0,1.0003733103197026,-3.0025525672686317
7.75,1.0003472447105555,-2.973953934809195
5.99,1.0002107977821475,-2.819496046912308
4.65,1.0002907777241576,-2.9110317421702607
3.6,1.0002755870258955,-2.893869918020923
2.79,1.000022019757565,-2.590594796222453
2.16,0.9982330188888764,-2.848073829205812
1.67,0.9988500588176387,-2.3639744245968988
1.29,0.9981072086704915,-2.6990064880085676
1.0,0.9977664105390599,-2.24585507557498
0.774,0.9975795707611499,-1.953161338608272
0.6,0.997500656641388,-1.8153868797257686
0.463,0.9984068559460116,-1.6357575588084001
0.357,0.9982358889561124,-1.2456137601441488
0.278,0.9981363884760439,-0.9471886158486145
0.216,0.9990794562996479,-0.7226111557830797
0.167,0.9990464137866668,-0.552293560941379
0.129,0.999027111544026,-0.42211141924755047
0.1,0.9990159770994655,-0.32404174449713036
